"cat_id";"title";"identifier";"sort_order";"meta_keywords";"meta_description"
"1";"Wine Basics";"wine-basics";"1";;
"5";"Spirits";"spirits";"0";;
"10";"Industry news";"industry-news";"0";;
"13";"Red Wine";"red-wine";"0";;
"14";"White Wine";"white-wine";"0";;
"17";"Fun Facts";"fun-facts";"0";;
"18";"Whiskey";"whiskey";"0";;
"21";"Wine By Region";"wine-by-region";"0";"Wine Regions, Wine, Region, Regions, Domestic Wine, International Wine";
"23";"Wine & Liquor Gifts";"wine-liquor-gifts";"0";;
"24";"Cellar and Bar Accessories";"cellar-bar-accessories";"0";"Cellar Accessories, Bar Accessories, Wine Accessories, Spirits Accessories";
"93";"Wine Reviews";"wine-reviews";"0";"Wine Reviews, Wine, Reviews";
"94";"Cocktail Recipes";"cocktail-recipes";"0";"Cocktail, Recipe, Spirits, Liquor";
"95";"Food & Drink Pairings";"food-drink-pairings";"0";"Wine, Food, Drink, Pairings";
