"id";"tag";"tag_count";"store_id"
"63";"  =";"0";"0"
"18";" accessories";"0";"0"
"100";" Aeration";"0";"0"
"62";" Appelation";"0";"0"
"68";" Appellation";"0";"0"
"109";" Beaujolais";"0";"0"
"67";" Body";"0";"0"
"78";" Bordeaux";"0";"0"
"26";" Bourbon";"1";"0"
"76";" Brut";"0";"0"
"6";" buy wine gifts online";"0";"0"
"4";" buy wine online ";"0";"0"
"19";" Cabernet Sauvignon";"1";"0"
"33";" Celebrations";"0";"0"
"50";" Cellar Accessories";"0";"0"
"17";" champagne";"4";"0"
"44";" Champagne Reviews";"0";"0"
"13";" Chardonnay";"0";"0"
"21";" chianti";"0";"0"
"107";" Corks";"0";"0"
"84";" Dessert Wine";"0";"0"
"97";" Dry Wine";"0";"0"
"77";" Extra Dry";"0";"0"
"82";" Geography";"8";"0"
"43";" Gin";"0";"0"
"57";" health";"0";"0"
"36";" Irish Whiskey";"0";"0"
"70";" Liquor";"0";"0"
"42";" Margarita";"0";"0"
"20";" merlot";"0";"0"
"22";" Mixing";"0";"0"
"89";" New World Wine";"0";"0"
"93";" Noble Rot";"0";"0"
"46";" Pairings";"3";"0"
"10";" Pinot Grigio";"0";"0"
"12";" Pinot Noir";"0";"0"
"104";" Prosecco";"0";"0"
"15";" red wine";"1";"0"
"79";" Restaurants";"0";"0"
"92";" Riesling";"0";"0"
"59";" Rose Wine";"1";"0"
"24";" Rye";"0";"0"
"11";" Sauvignon Blanc";"0";"0"
"69";" Scotch";"0";"0"
"37";" Scotch Whiskey";"0";"0"
"58";" Sherry";"1";"0"
"30";" Shiraz";"1";"0"
"34";" Sparkling Wine";"1";"0"
"71";" Spirits";"0";"0"
"90";" Super Tuscan";"0";"0"
"86";" Syrah";"0";"0"
"60";" Taste";"0";"0"
"56";" teeth";"0";"0"
"91";" Varietals";"1";"0"
"25";" Vermouth";"0";"0"
"40";" Vodka";"0";"0"
"23";" Whiskey";"1";"0"
"16";" white wine";"2";"0"
"32";" Wine";"40";"0"
"54";" Wine Aging";"0";"0"
"105";" Wine and Cooking";"0";"0"
"14";" wine bags";"0";"0"
"48";" Wine Basics";"0";"0"
"98";" Wine Collecting";"0";"0"
"49";" Wine Collection";"0";"0"
"7";" wine gift wrapping ";"0";"0"
"9";" wine gifts ";"1";"0"
"2";" wine pairing ";"0";"0"
"29";" Wine Pairings";"0";"0"
"35";" Wine Regions";"0";"0"
"111";" Wine Review";"1";"0"
"52";" Winemaking";"3";"0"
"85";" Zinfandel";"0";"0"
"110";"Chardonnay";"1";"0"
"101";"Decanters";"0";"0"
"99";"Decanting";"1";"0"
"1";"fine dining";"1";"0"
"83";"Geography";"3";"0"
"38";"Irish Whiskey";"0";"0"
"94";"Jug Wine";"1";"0"
"72";"Liquor";"0";"0"
"74";"Merlot";"0";"0"
"27";"Mixing";"0";"0"
"114";"Naoussa";"1";"0"
"88";"Old World Wine";"1";"0"
"47";"Pairings";"3";"0"
"81";"Portuguese White Wine";"0";"0"
"80";"Portuguese Wine";"1";"0"
"108";"Q&A";"1";"0"
"75";"Red Wine";"1";"0"
"39";"Scotch Whiskey";"0";"0"
"113";"Shiraz";"3";"0"
"45";"Sparkling Wine";"1";"0"
"73";"Spirits";"0";"0"
"65";"Sugar";"1";"0"
"87";"Syrah";"0";"0"
"61";"Varietals";"1";"0"
"95";"Vintage";"1";"0"
"41";"Vodka";"0";"0"
"28";"Whiskey";"1";"0"
"8";"white wine gifts";"1";"0"
"31";"Wine";"13";"0"
"102";"Wine Ageing";"0";"0"
"55";"Wine Aging";"0";"0"
"106";"Wine and Cooking";"0";"0"
"51";"Wine Collection";"0";"0"
"5";"wine gift";"1";"0"
"3";"wine gifts";"2";"0"
"103";"Wine Innovation";"1";"0"
"112";"Wine Review";"1";"0"
"66";"Wine Tasting";"2";"0"
"96";"Wine Vintage";"0";"0"
"53";"Winemaking";"3";"0"
"64";"Wines";"0";"0"
