"post_id";"status";"title";"url_key";"use_comments";"short_content";"full_content";"posted_by";"google_profile";"facebook_profile";"twitter_profile";"meta_title";"meta_tags";"meta_description";"created_at";"updated_at";"published_at";"recently_commented_at";"user_define_publish";"notify_on_enable";"display_short_content";"comments_enabled";"views";"post_thumbnail";"list_thumbnail";"thumbnail_url";"grid_class";"canonical_url"
"1";"2";"A trip through Italian Wine Regions";"trip-through-italian-wine-regions";"0";NULL;"<p>Italy is one of the oldest producers of wine.  There is probably not an inch of land across the whole country that you couldn’t grow grapes on and make a great wine.  Wine was made even before the Romans mass produced and brought modern storage techniques to wine making around 2 B.C. There are many regions across the country and in order to see the distinction between the many different wines, it is important to learn about the regions they come from.
</p><p><img src=""https://theliquorstore.com/media/magpleasure/mpblog/upload/a/d/ad71f15655bff49f7c8e6bcbb060dd87.png"" style=""float: right; width: 290px; height: 340px; margin: 0px 0px 10px 10px;"" alt="""" width=""290"" height=""340""></p><p>There are about twenty regions that produce wine. There are many factors involved which make Italy one of the best wine producing countries.  Being surrounded by water makes for a great grape growing climate as well as the geographical topography with all the mountain ranges make for a variety of soil conditions. Italy is one of the world largest producer and consumers of wine. Italy’s twenty regions of wine are:
</p><p>Aosta Valley, Piedmont, Liguria, Lombardy, Veneto, Trentino-Alto Adige, Friuli-Venezia Giulia, Emilia-Romagna, Tuscany, Umbria, Marches, Latium, Abruzzi, Molise, Campania, Apulia, Basilicata, Calabria, Sicily, Sardinia.
</p><p>Aosta Valley is one of the smallest regions in Italy.  Located in the northwestern corner that borders Switzerland and France, this region has a very rocky and mountainous terrain. Some of the red wine regions include: Arnad-Montjovet, Efner d’Arvier, and Chambave.
</p><p>Piedmont has 52 Doc/Docg zones and is proud for having the largest percentage of it’s wines classified.  Some of the more popular red wines include Barolo, Barbaresco and Dolcetto.  Piedmonts white wines include Asti, and Moscato d’Asti.
</p><p>Liguria  has a rugged terrain which makes growing grapes a challenge and so their wines are limited but well worth trying to find with a distinctive taste.
</p><p>Lombardy is better known for consuming more than producing wine due to the numerous industries in this region.  The wines that come from Lombardy are actually very fine but often don’t get the recognition due to the import of neighboring wines.
</p><p>Veneto or otherwise known as Venice is not only beautiful but also on it’s way to becoming a large producer of classified wines.  Some of the wines produced in this region include Soave, Valpolicella and Bardolino.  Venice also produces other wines that fall under the IGT classification.
</p><p><u>Tentino</u> - Alto Adige is in the northernmost region.  The steep hillsides make it difficult to grow grapes and so more emphasis is concentrated on the quality of the wine.  To the north is an area named Sudtirol where the majority of the people speak German.
</p><p><u>Friuli</u> -Venezia Giulia has borders on Austria and Solvenia.  This regions produces some really good red wines and very distinctive white wines.
</p><p>Wine regions such as: Friuli Isonzo, and Friuli Aquileia are located here.
</p><p><u>Emilia </u>-Romagna is one of northern Italy’s eccentric regions with a different style all on it’s own. The wine from this region has a refreshing different quality from the wine from other regions.
</p><p><u>Tuscany</u> is the land of award winning wines such as Brunello and the Super Tuscans. Regarded as the birthplace of the Italian Renaissance, Tuscany gained famed for such wines like Chianti, and Vino Nobile di Montepulciano.
</p><p><u> Umbria</u> is the green heart of Italy famed for its white wines such as Orvieto. Located east of Tuscany and north of Rome, this region has green pastures.  Wines such as Falesco are found here.
</p><p><u> Le Marche</u> is a beautiful hilly wine region with miles of coastline.  The town of Urbino where Raphael the famous painter was born has rustic mountains and postcard picture perfect fishing villages like Portonovo. Coined the new Tuscany, Le Marche is home of wines like Verdicchio di Matelica and Verdicchio.
</p><p><u>Latium</u>  was once the center of the world.  Also known as Lazio, this region has fertile foothills and valleys.  Rome is located in Lazio and the region is known for wines such as Frascati, and Est! Est!! Est!!! di montefiascone. The soil has a volcanic history and is home to Malvasia and Trebbiano grapes.
</p><p><u>Abruzzi</u> is one-third hills and two thirds mountains was one of the first regions inhabited. Industrialized and produces the bulk of grapes which are used for blends.  Most grapes are shipped north to other regions for producing.  Montepulciano and Trebbiano are predominant but Abruzzi is gradually changing from bulk production to boutique production to make a quality product of their own.
</p><p><u>Molise</u> started gaining an official status in the early eighties.  Often overlooked for other regions, Molise has the potential to compete with its neighboring Abbruzzi and Campania.
</p><p><u>Campania</u> has a glorious past. From the Romans to the Greeks, praised the high quality wines of Campania.  From the volcanic soils near Vesuvius to the vineyards along the north coast, Campania has wines such as Anglianico, and Falanghina.
</p><p><u>Apulia</u> is home to dry well balanced red wines as well as white, sweet, and rose.  Geographically the heel of Italy’s symbolic boot, Apulia produced strong blends of wines.  Once nicknamed “Europe’s wine cellar” Apulia use to produce more wine than Sicily and Venice.
</p><p><u>Basilicata</u> has a cool climate for being located in the southern part of Italy.  Basilicata also known as Lucania produces wines that have intense flavors and nice aromas.  Wines such as Anglianico del Vulture is one wine Basilicata can be proud of.
</p><p><u> Calabria</u>  is a mountainous region that forms the toe on the boot of Italy.  Having a mixed climate produces two grape varieties such as Greco and Gaglioppo.  One of the more popular wines are Ciro.
</p><p><u> Sicily</u> is the largest island in the mediterranean.  Sicily produces Marsala, used in cooking.  Once possessing more vineyards than any other region, Sicily is now focusing more on quality than quantity. Sicily is home to wines such as Colossi Rosso, and many dessert wines.  A majority of the grapes are turned to raisins and used in local cooking.
</p><p><u>Sardinia</u> has a history influenced by many cultures.  Spaniards inhabited this isolated island.  Producing Moscato, Malvasia, Giro, Cannonau, and Vernaccia di Oristano, Sicily has ancient geological formations from the Palaeozoic era.
</p><p>I think every region of Italy is an endless adventure of taste and well worth exploring.  As always this is Billy Wineheart wishing you good food, good friends and good wine.
</p>";"gitka gitka";NULL;NULL;NULL;"A trip through Italian Wine Regions";NULL;"Italy is one of the oldest producers of wine.  There is probably not an inch of land across the whole country that you couldn’t grow grapes on and make a great wine.  Wine was made even before the";"2019-06-16 04:39:38";"2019-06-18 04:55:18";"2019-06-02 04:37:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"30";NULL;NULL;NULL;"w2";NULL
"2";"2";"What Makes a Wine a ""Best Seller""?";"best-seller-wines";"0";NULL;"<p>Ever wonder what constitutes a best selling wine?  Surprisingly not all of the best selling wines are all highly rated.  I believe many factors come into play when determining a best selling wine.  The economy sometimes has an effect on wine sales where people who were able to spend a few more dollars before may not have the money available now and so they choose a less expensive bottle.  </p><p>Sometimes the area of the stores location plays a part on what sells better than others.  For an example many people who live in the New York area may travel or have their best selling wine shipped from New Jersey or they may travel to a store that sells wine at wholesale prices.  I have been working in the industry for over six years and noticed that sometimes there are trends in the wines people purchase.  </p><p>Cavit Pinot Grigio is one of our best sellers because they have a great marketing team that advertises well.  Commercials and advertisement combined with reasonable pricing can make any item a best seller.  Some of the customers who come in our store enjoy our low prices and often wonder if we are selling wholesale.  </p><p>Some of the items that are best sellers include: J Lohr Cabernet Sauvignon, Franciscan Cabernet Sauvignon, Santa Margharita Pinot Grigio, Cavit Pinot Grigio, and Kendall Jackson Chardonnay.  Some of the best selling reds are: BV Tapestry, Ruffino Chianti, Marques de Caceres Rioja, and Louis Martini Cabernet Sauvignon. </p><p>Once in a while an article will come out with a particular wine and it might become a best seller for a short amount of time.  There are so many variables involved in determining best selling wines but check out a few that I listed and see for yourself.  </p><p>Another way to find out what is a best seller is to do some research and read some of the many publications out there that rate wine.  Wine Spectator sometimes have great articles on wine, producers, wineries, vineyards and even rate the vintages which are quite helpful.  </p><p>For instance 2007 was a great year for wine in California and so that any wine from the Napa, or Sonoma Valley that has a 2007 vintage, has a great possibility of being a great wine.  </p><p>You can also keep reading our blog posts, and while you are here check out some of the suggestions listed above as well as prices.  This is William Winehart as always wishing you good food, good friends and good wine. </p>";"gitka gitka";NULL;NULL;NULL;"What Makes a Wine a Best Seller?";NULL;"​Ever wonder what constitutes a best selling wine?  Surprisingly not all of the best selling wines are all highly rated.";"2019-06-16 05:32:04";"2019-06-16 05:33:09";"2019-06-02 17:30:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"15";NULL;NULL;NULL;"w1";NULL
"3";"2";"Biodynamic Farming and How it Benefits Wine";"biodynamic-farming-wine-benefits";"0";NULL;"<p>I remember hearing the term biodynamic and was curious to what exactly that meant.  I have heard of organic and this day in age more healthy conscious people are turning to organic foods and drinks, but biodynamic seemed to take it to the next level.  As I researched this concept I remember reading how a wine maker poured two glasses of the same wine, same grapes but just one was grown in biodynamic soil and the other regular soil.  The conclusion to that story was that 12 out of 13 people chose the biodynamic wine and commented that the taste was more vibrant and floral, clean and crisp as compared to the regular wine.  At that point the wine makers turn the whole vineyard over to the biodynamic method.</p><p><br></p><p>The concept of biodynamic is that the soil and the crop are both vital.  The calculations of harvesting and replanting are based on cosmic events.  The biodynamic farms also make their own compost and the rotation of different crops help the soil.  Some crops strip the soil of important minerals.  Crops such as potatoes and corn exhaust the soil while other crops such as clovers, peas and beans restore.  In bio dynamics the concept of rotating deep rooting with short rooting crops help maintain a great soil.  Many vineyards are changing into biodynamic.  Many benefits are in the taste but also the longevity of the wine.</p><p><br></p><p>Bio dynamics was discovered by a man named Dr. Rudolf Steiner after a group of farmers sought his advice.  Through research and lectures, he came up with the principles of biodynamic.  He later brought these concepts to America around 1930 and became more and more popular in present times.  Biodynamic wines are also considered to be 100 percent organic and there are many to choose from today. Look for my part two on the differences and more information on this topic.  Please feel free to respond or add your comments and your feedback. As always drink well and enjoy.</p>";"gitka gitka";NULL;NULL;NULL;"Biodynamic Farming and How it Benefits Wine";NULL;"I remember hearing the term biodynamic and was curious to what exactly that meant.  I have heard of organic and this day in age more healthy conscious people are turning to organic foods and drinks,";"2019-06-16 05:37:19";"2019-06-16 05:42:10";"2019-06-03 17:35:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"16";NULL;NULL;NULL;"w1";NULL
"4";"2";"What's the difference between Champagne,Cava, Prosecco and other sparkling wines?";"champagne-cava-prosecco-differences";"0";NULL;"<p>Ever walk into your favorite liquor and wine store and looked at all the varieties of sparkling wine there are.  There are not only champagnes but also cavas, prosecco, spumante, and other sparkling wines to choose from.  I always wondered what's the best to toast with and what actually are the differences in all of them?  Let's start with the most known Champagne.</p><p>Champagne is a sparkling drink named after the town of Champagne located far north and close to Paris France.  To create the bubbles yeast and sugars are added which cause carbonation in the bottle.  If no sugars are added then the champagne is considered extra dry, if sugars are added then it is called brut.  Most people call all sparkling wines Champagnes but in fact it is not correct to call them all Champagne.  Most Champagne is made to drink right away and is considered a non vintage Champagne.  It will only last maybe three to four years before going flat and the grapes used are from many different vintages.  A vintaged Champagne can last up to fifteen years before going flat and the grapes are from one vintage.  The majority of grapes used to make champagne are chardonnay and pinot noir.  Some people say that the smaller the bubbles the better the champagne.  Champagne is best enjoyed in a long stem flute glass.  This design allows the flow of bubbles upward and enhances the aromas.  There are other methods of carbonation although the gas Co2 induced method creates larger bubbles.  Champagne first gained its popularity when used to annoint french kings and so the tradition of toasting on good occasions came to be.  It is a symbol of wealth and luxury.</p><p>Cava's are another sparkling wine which is made in the same process as champagne.  Originating from Spain from centuries old wine makers in the northern edge of Spain.  You can always tell if you're drinking a cava by the four pointed star on the cork.  It comes in all different types of sweetness as well and ninety-nine percent of cavas come from Spain. Cavas are generally aged from 18 to 24 months. Some of the most popular cavas is Freixenet and Codorniu.</p><p><span></span>Prosecco is another fine sparkling wine from Italy.  Although similar to the others mentioned it is actually made in a different method where they carbonate it in the tank before bottling.  This method is called the charmat method.  A prosecco that is extra sparkling is considered a spumante,not to be confused with asti-spumante ( a non champagne sparkling wine)which is sweeter. The lightly sparkling prosecco is named frizzante.  Many of the popular proseccos include Mionetto,and Riondo. Prosecco has a low alcohol content and the flavors are intense, fresh, and crisp. Very good for warm seasons and light as compared to champagne.  Italian prosecco falls under strict guidelines and is protected by DOGC.</p>The popularity of sparkling wines has grown and there are many non champagne types of sparkling wines out on the market.  Using different varieties of grapes there are now sparkling moscato and lightly fizzy vinho verdes like gazela  which are citrus flavored lightly sparkling wines.  So your next toast doesn't necessarily need a champagne when there are cava's and proseccos out there equally as good.";"gitka gitka";NULL;NULL;NULL;"What's the difference between Champagne,Cava, Prosecco and other sparkling wines?";NULL;"Ever walk into your favorite liquor and wine store and looked at all the varieties of sparkling wine there are.  There are not only champagnes but also cavas, prosecco, spumante, and other sparkling";"2019-06-16 05:46:04";"2019-06-16 05:46:10";"2019-06-04 17:44:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"18";NULL;NULL;NULL;"w1";NULL
"5";"2";"Famous Wineries owned by Famous people";"famous-wineries-owned-by-famous-people";"0";NULL;"<p>Owning a Vineyard or Winery doesn’t necessarily make you wealthy and it is a very hard business to get into because of its instability.  So many factors are involved in the making of the next great wine.  Weather, region, grapes and varietals as well as percentages of blending and age old techniques can come into play when making a great wine.  </p>
<p>Many try and just as many fail and it is kind of interesting to know that some of the wine you may be drinking may come from your favorite athlete or actor.  Some of these actors and athletes may acquire a vineyard for personal use while others invest hoping their recognition may boost sales.  I am not going to go against owning and it could be very lucrative.  Sales of celebrity supermarket wines are actually up 19%.</p>
<p>Some of our most popular owners who actually found success is Francis Ford Coppola who owns the historic Napa Valley winery Inglenook which he renamed Niebaum-Coppola.  </p>
<p>Rubicon is one of his better wines produced from his winery. </p>
<p>Dan Aykroyd owns his own winery in Ontario Canada and also produces some Sonoma county wines. </p>
<p>Antonio Banderas owns Anta Banderas In Ribera del Duero, Spain.  </p>
<p>Even Lorraine Bracco from the Sopranos owns Bracco Wines in Tuscany, Italy.  </p>
<p>Madonna, Dave Matthews, Arnold Palmer, Joe Montana and the list goes on.  </p>
<p>Did you know that even Robert Parker who rates wines for the Wine Advocate co-owns a winery with his brother-in law in Oregon and delegates the rating of Oregon wines to his associates due to the conflict of interest.  </p>
<p>It is very interesting to see who is involved, even Nancy Pelosi, former speaker of the house owns two vineyards.  Below is a list of some more that I compiled but I actually think it is kind of interesting to see that maybe that next glass of wine you drink may actually have been from your favorite actor.  As always enjoy good wine with good friends and good food. This is William Winehart wishing you well.</p>
<ul><li>Mario Andretti-Napa</li><li>Mario Batali- La Mozza, Tuscany, Italy </li><li>Drew Bledsoe- Double back wines, Walla Walla, Washington</li><li>Mike Ditka- Mike Ditka Wines, Mendocino County, California</li><li>Emilio Estevez- Casa Dumetz, Malibu California</li><li>Wayne Gretzky- no99 Estates Winery, Niagara, Canada</li><li>Lil Jon- Little Jonathan Winery, Central Coast California</li><li>Modonna- Ciccone Vineyard, Leelanau, Michigan</li><li>Dave Matthews- Blenheim Vineyards, Charlottesville, Virginia</li><li>Vince Neil- Vince Neil Vineyards, Sonoma California</li><li>Jason Priestly- Black hills Estate Winery, Okanagan, British Columbia</li></ul>";"gitka gitka";NULL;NULL;NULL;"Famous Wineries owned by Famous people";NULL;"Owning a Vineyard or Winery doesn’t necessarily make you wealthy and it is a very hard business to get into because of its instability.  So many factors are involved in the making of the next great";"2019-06-16 05:49:01";"2019-06-16 05:49:01";"2019-06-05 17:48:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"20";NULL;NULL;NULL;"w1";NULL
"6";"2";"Have you met my cousin Mezcal?";"have-you-met-my-cousin-mezcal";"0";NULL;"<p>Many people don't know or even heard of Mezcal. Maybe it's the small quantaties produced but as Tequila grows more popular, there is a possibility you might meet it's cousin Mezcal.  Mezcal most likely will gain in popularity and might even surpass Tequila as the next best drink.</p><p>The origins of Mezcal is based in myth and is still a mystery.  Some say that lightning struck an agave plant and split it open to give birth to Mezcal the elixir of the gods.</p><p>Some say the spanish conquistadors ran out of their own liquor and after being introduced to agave, decided to distill it to createTequila and Mezcal.  Maybe some myths should stay mysteries because it adds a certain respect for the unknown.</p><p>Mezcal is made from the maguey plant which is a variety of agave.  The maguey plant was sacred in religious ceremonies and rituals of the Mexican culture.  Cooking the heart of the maguey and fermenting the juices was common.  The maguey plant takes some time to reach maturity and so only small quantaties of mezcal are made at a time.  There are many differences between Tequila and Mezcal.  Mezcal is a bit harsher and raw in taste compared to Tequlia which is smoother.  There are many different types of Mezcals and depending on distilling and aging, they all vary.  The smoky bite of Mezcal is like a single malt from Islay compared to a kentucky whiskey.  Originally Tequila and Mezcal was nick-named aguardiente or fiery water and was introduced to North America by the spanish conquistadors.</p><p>Mezcal is mostly made from the area of Oaxaca and starts by roasting the maguey which gives it the smoky flavor and taste.  The actual process takes about three days where the pinas` are cooked in a pit oven filled with hot rocks.  The underground roasting brings out the intensity of the flavor. The next step includes smashing and fermenting before distilling.  </p><p>Mezcal is usually enjoyed straight up and not mixed.  The smoky raw taste makes it a hard spirit to mix but I'm sure there will be a signature drink soon associated with Mezcal.  In Mexico, people take a shot in the morning before the day starts while others spill a little out to show respect to Mayahuel, the goddess of fertility and the maguey plant.  There are many diffferent brands of Mezcal but beware of the worm.  The concept of the worm in tequila and Mezcal was created in 1940 as a gimmick.  It's not even a real worm in the bottle, It's a larva and most of the bottles with the worm in it are lower quality products.  If a worm was inside the maguey plant then that would mean there was an infestation and the finished product would be of lower quality. </p><p>Mezcal may not be for everyone but it's definitely worth trying and who knows, maybe this spicy cousin of Tequila might be your next favorite drink.  As always this is Billy Wineheart wishing you good friends, good food and good drinks.</p>";"gitka gitka";NULL;NULL;NULL;"Have you met my cousin Mezcal?";NULL;"Many people don't know or even heard of Mezcal. Maybe it's the small quantaties produced but as Tequila grows more popular, there is a possibility you might meet it's cousin Mezcal.  Mezcal most";"2019-06-16 05:50:50";"2019-06-16 05:50:54";"2019-06-06 17:50:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"10";NULL;NULL;NULL;"w1";NULL
"7";"2";"How do you like your Tequila?";"how-do-you-like-your-tequila";"0";NULL;"<p>Tequila is made in Mexico from the agave plant.  It got its name because it was primarily made in the surrounding area of the city Tequila and in the highlands.  It was first made in the 16th century but wasn't first recognized until 1656. The aztec people deserve the credit of discovering this drink but the spanish conquistadors after running out of brandy, distilled tequila as well and most likely introduced it to North America.  </p><p>The first tequila was actually mass produced in 1795 by José Maria Guadalupe de Cuervo and Don Cenobio Sauza was the first to export it to the United States and to a local bar near you.  After many years came different variations and different drinks were invented like one of summer's most popular margaritas.  There are many different types of tequila today. </p><p>Anejo,Reposado,Silver,Extra Anejo.  Let's break it down a little more:</p><p>Tequila  Silver, Platinum, Blanco , Plata , White  is un-aged, clear and is considered in it's purest form.  It has intense flavors of agave and a natural sweetness which is smooth(Suave). <br>Tequila Gold, Oro, Joven, Dark is actually the same as the Plata but with added flavorings and colors.  Among some of the popular tequilas like Cuervo you will find most bars and clubs use these young tequilas for mixed drinks and recipes.</p><p>Tequila Añejo (extra aged) is aged for at least one year in a barrel which darkens the tequila to an amber color. It's smoother and more complex as well as richer in taste. </p><p>Tequila Extra Añejo (ultra aged) is one of the newer classifications added to the family.  It is stored in barrels for more than three years which make the tequila even darker and more rich in color.  By governing laws, the aged tequila must be stored in barrels not exceeding 600 liters.</p><p>Tequilas are also governed under strict laws which puts them in two categories, 100% Blue agave and Mixed which must contain at least 51% agave and the rest could be cane sugars, coloring or sweeteners.  Among some of the most popular brands are Cuervo,Sauza,Patron,Don Julio, Cabo Wabo.  Some tequilas have added distilled water to reduce the alcohol content which can exceed 100 proof.</p>Hopefully the next time you grab the salt and lime for your tequila shot, you can impress your friends with some of this information. It not only is informative but makes a great party conversation. As always this is Billy Wineheart wishing you great friends,great food and great spirits.";"gitka gitka";NULL;NULL;NULL;"How do you like your Tequila?";NULL;"Tequila is made in Mexico from the agave plant.  It got its name because it was primarily made in the surrounding area of the city Tequila and in the highlands.  It was first made in the 16th";"2019-06-16 05:52:40";"2019-06-16 05:52:44";"2019-06-07 17:52:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"10";NULL;NULL;NULL;"w1";NULL
"8";"2";"How to Read a wine label (U.S.)";"how-to-read-a-wine-label-us";"0";NULL;"<p><img src=""https://lh6.googleusercontent.com/C6lClTuXKcMURVz-i4MOSJwxcTIJSpZZPeqi8Vqyy1L0vG3yiPHNvCUB_VUxBjbpoiJAHMW7BLCCSB2taCQDBrQqHsjoN6P5ihDKWWzqoX-Qf0wM011B-6n8zzTbkdy-"" width=""391"" height=""334"" alt="""" style=""width: 391px; height: 334px; display: block; margin: auto;""></p><p>Reading a wine label from the U.S. is a lot easier than reading wine labels from other countries.  Wine labels are very useful in explaining information on location, wineries, varietals, vintages and many other useful terms that can help any consumer in choosing a wine that is good for them.  Around 1983, new federal wine label requirements changed the minimum information that a label must contain before it hits the shelves.  Out of all the bottles of wine on the shelf, it is important to make sure your label stands out amongst the rest.  Unfortunately a beautiful label doesn’t mean it is a great wine but the information contained on the label might. Some pieces of information like vintage can be useful because wine varies year to year due to the weather conditions.  Wine labeling systems also protect not only the consumer but the producers as well.  Inaccurate information on a label is illegal and so labels enforce quality.</p><p>Some of the information you may find are:</p><ol><li>Name of Vineyard- This is optional information that vineyards may add because the property of the winery might produce high quality grapes.  Some vineyards might have the notoriety of producing great wines so they would most likely mention the vineyard on the label.</li><li>Vintage- The vintage is very important because wine differs year to year due to climatic changes.  There are charts that you can use to determine which year was the best in certain regions.</li><li>Region- Region or Appellation of Origen (AOC) explains region within certain states or geographical distinctions.  California laws require that 100% of the grapes come from within California.  Other states require at least 75% of the grapes come from that state.  When a label states a particular area like “Napa Valley” it means that 85 % of the grapes used come from that area.</li><li>Varietals- The varietal is the wine type. In 1983 the law stated that a varietal must contain at least 75% of the varietal listed.  100% varietal are not automatically better wines.  Some of the best wines have different percentages of different grapes.  Prior to 1983, the law required only 51% of the named varietal.</li><li>Alcohol Percentage- The alcohol percentage states the amount of alcohol the wine contains by volume.  This is a mandatory requirement for all wines.</li></ol><p>After 1988 they established a mandatory law to declare the amount of sulfites contained in the wine.  Wines which have levels above 10 parts per million of sulfur dioxide must be labeled.</p><p>They also established a law stating that any wine after 1989 must have a federal warning, like the warnings they put on cigarettes.</p><p>Some labels may include more information than others depending on the producers.  Some wineries have designers create new labels for them every year while others may continue using their original labels but that is all left up to the discretion of the producer.  Hopefully this article will help you in determining what wine is right for you.  Wine classification laws may differ from country to country.  Some wines may classify their wines by region only.  Please refer to my other blogs about wine labels from other countries.  As always this is William Wineheart wishing you good friends, good food, and good wine…enjoy!</p>";"gitka gitka";NULL;NULL;NULL;"How to Read a wine label (U.S.)";NULL;"Reading a wine label from the U.S. is a lot easier than reading wine labels from other countries.  Wine labels are very useful in explaining information on location, wineries, varietals, vintages";"2019-06-16 05:57:08";"2019-06-16 05:57:08";"2019-06-08 17:55:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"19";NULL;NULL;NULL;"w1";NULL
"9";"2";"How to read a Wine Label from Spain";"how-to-read-a-wine-label-from-spain";"0";NULL;"<p><img src=""https://lh6.googleusercontent.com/FSjL2ULvqaP88aBFs70uXemxzh80SDFxqulX4AIwk0D7M49JODQ59AFw62HjqRCnLco2I2ZCzfNigFc0VBV8XZ694G_Y0N90TgE89JevDF8n_yczromwNWjrt1NHbp86"" alt="""" style=""display: block; margin: auto;"">
</p><p>Many people have difficulty reading wine labels from different regions. Knowing how to read the labels can be very beneficial for picking out a great wine.  Most of us, including myself sometimes buy wine based on the label, only to be disappointed by it’s contents.  Wine labels vary depending on the producer but all should contain the same information.  This is a basic guide and in some situations some information may be excluded or included.
</p><h2>Spanish wine laws and classification</h2><p> D.O. or Denominacion de Origen is a term assigned to Spanish wines and foods.  It is very similar to France and their A.O.C. (Appellation d’Origine Controlee).  It is a classification system which establishes and regulates the quality of Spanish wine.  The D.O. guarantees specific characteristics of geographical regions and no materials outside of that region will be permitted to be labeled.  This classification system helps protect vineyards and consumers.
</p><p>The D.O. is the mainstream grading system and there are about 120 regions that are classified under this system.  New sub groups were adopted in 1986.
</p><p> D.O.C. or Denominacion de Origen Calificada is determined by the national committee. They determine which D.O.s  are deserving for D.O.C. status.  These wines are usually follow strict requirements one of which is that the wine costs at least double that of the national average.
</p><p>In 2003 Spain revised the laws and sanctioned new categories which include:
</p><p>Vino de Calidad Producido en Region Determinada (VCPRD)
</p><p>Vinos de la Tierra (Vdlt) – These are considered the wines of the country.  This is one level above Vino de Mesa.
</p><p>Vino de Mesa – This wine is the lowest quality and considered table wine.
</p><p>They also created a category called D.O. Pago which applies to a single estate wine.  Pago means vineyard and this term applies to a wine that is wholly created and bottled in that region or area.
</p><h2>Aging Terms:</h2><p>Sometimes you may see a word like Reserva or Crianza on a Spanish wine label.  These words explain the age of the wine.  There are minimum requirements a wine must have to receive one of these terms.
</p><p>Joven: This term is for younger wine which is usually sold one year after harvest.
</p><p>Crianza: This wine is aged a minimum of two years with one year in a barrel.
</p><p>Reserva:  This wine is usually three years old and spends at least one year in the barrel.
</p><p>Gran Reserva:  This wine is five years old and spends two years in a barrel.
</p><p>These terms are observed by the DOC and the DO.  The Reservas and Gran Reservas of Spain represent some of the greatest valued wines in the world.
</p><p><br><br><br>
</p><h2>Reading the label:</h2><p>Name: This shows the name of the wine.
</p><p>Vintage: This shows the year of production.
</p><p>Bodega: The bodega is another term for winery.
</p><p>Region: The region is the location where the grapes have been grown.
</p><p>Alcohol Content: This shows the amount of alcohol in the wine.
</p><p>Size: This shows the size of the bottle.
</p><p>Sometimes the label might show the varietal which is the type of grape used to make the wine.  Some popular varietals include Garnacha, Albarino, Priorat, Malvasia, Viura,
</p><p>When you become familiar with the labels and understand the information on them, you will see that it isn’t as hard as you first thought.  Just the translation of a few words can help you in choosing a wine that is right for you.  Spain offers many different varietals and many of the wine producers in Spain believe that wine should be sold only when it is ready to drink.  This ideology and philosophy brings a passion to the winemakers in Spain to create something not only beautiful but enjoyable.
</p>";"gitka gitka";NULL;NULL;NULL;"How to read a Wine Label from Spain";NULL;"Many people have difficulty reading wine labels from different regions. Knowing how to read the labels can be very beneficial for picking out a great wine.  Most of us, including myself sometimes";"2019-06-16 05:59:27";"2019-06-16 05:59:27";"2019-06-09 17:57:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"10";NULL;NULL;NULL;"w1";NULL
"10";"2";"How to read a wine label from Italy";"how-to-read-a-wine-label-from-italy";"0";NULL;"<p>Many of us would like to try different wines from different countries.  The reason why many of us stick to what we like and are wary to try something new mostly is because we have a hard time understanding the labels.  If you aren’t fluent in Italian, it might be difficult to understand an Italian wine label.  This article will hopefully give you some insight into understanding Italian wine labels.  Some labels may contain more information than others depending on the classification of the wine.  Italian wines fall under four classifications.  These classifications or regulations assure quality for wine and food products.  They are requirements that the label should contain certain pieces of information before distribution.</p><p>These Classifications are:</p><p>Denominazione di Origine Controllata e Garantita (DOCG)- This is the highest classification for traditional Italian wine.  It was established in 1963 and is designated for high quality wines.  The word garantita stands for guarantee.  Every wine that falls under the DOCG classification has gone through very strict government rules before distribution.  Each bottle has a numbered government seal across the neck.</p><p>Denominazione de Origine Controllata (DOC)- A majority of  the wine in Italy falls under this classification.  It is very similar to the French and their (AOC). The DOC and the DOCG place restrictions on the grape varieties, alcohol percentages and some of the processing techniques involved in the wines production.</p><p>Indicazione Geografica Tipica (IGT)- This classification was created around 1992 and is also known as the “Goria Law”. Named after the minister of agriculture, this classification covers all the wines that don’t fall the DOC and the DOGC. A possibility why these wines don’t fall under the other classifications may be because of the varietals used and so these wines are considered Vino da Tavolas (VDT).</p><p>Vino da Tavola (VDT)- This classification covers all wines considered table wines.  These wines do not follow the strict regulations.  Some quality wines do fall under this classification because they don’t follow traditional guidelines.</p><p>Super Tuscans- A super tuscan is an Italian wine that doesn’t follow traditional Italian wine making techniques.  They usually are a blend with grapes like Cabernet Sauvignon or Merlot.  Some Super Tuscans are of high quality.</p>";"gitka gitka";NULL;NULL;NULL;"How to read a wine label from Italy";NULL;"Many of us would like to try different wines from different countries.  The reason why many of us stick to what we like and are wary to try something new mostly is because we have a hard time";"2019-06-16 06:00:09";"2019-06-16 06:00:13";"2019-06-10 17:59:00";"0000-00-00 00:00:00";"1";"0";"0";"1";"11";NULL;NULL;NULL;"w1";NULL
