HQID,ID,Price,SalePrice,SaleStartDate,SaleEndDate,SaleType
0,7656,8.99,0.00,NULL,NULL,0
0,9164,38.99,0.00,NULL,NULL,0
0,9142,25.99,0.00,NULL,NULL,0
0,11454,9.99,0.00,NULL,NULL,0
0,11306,39.99,0.00,NULL,NULL,0
0,19174,8.99,9.99,NULL,NULL,0
0,3858,7.99,0.00,NULL,NULL,0
0,2638,9.99,0.00,NULL,NULL,0
0,13615,8.99,0.00,NULL,NULL,0
0,12163,20.99,0.00,NULL,NULL,0
0,12395,40.99,0.00,NULL,NULL,0
0,22050,0.00,0.00,NULL,NULL,0
0,22051,0.00,0.00,NULL,NULL,0
0,10892,34.99,0.00,NULL,NULL,0
0,21389,14.99,17.99,NULL,NULL,0
0,3999,33.99,0.00,NULL,NULL,0
0,6729,7.99,0.00,NULL,NULL,0
0,23643,-1.19,0.00,NULL,NULL,0
0,23642,-1.99,0.00,NULL,NULL,0
0,23533,1.99,0.00,NULL,NULL,0
4913,4913,2.00,0.00,NULL,NULL,0
0,23534,1.99,0.00,NULL,NULL,0
15271,15199,21.99,0.00,NULL,NULL,0
0,25498,0.00,0.00,NULL,NULL,0
0,25809,0.00,0.00,NULL,NULL,0
15073,15072,12.99,0.00,NULL,NULL,0
0,22183,11.99,13.99,2007-05-29 00:00:00.000,2030-12-31 00:00:00.000,0
22150,22979,19.99,0.00,NULL,NULL,0
0,13256,20.00,0.00,NULL,NULL,0
27523,25368,18.99,18.99,NULL,NULL,0
11028,11028,44.99,0.00,NULL,NULL,0
15520,15367,-5.00,0.00,NULL,NULL,0
15600,15447,5.99,10.99,NULL,NULL,0
4633,4633,14.99,0.00,NULL,NULL,0
21434,22266,17.99,0.00,NULL,NULL,0
27286,25132,0.00,0.00,NULL,NULL,0
17237,19077,18.99,17.99,NULL,NULL,0
21435,22267,17.99,0.00,NULL,NULL,0
21426,22258,16.99,0.00,NULL,NULL,0
13463,13463,18.99,0.00,NULL,NULL,0
13811,15295,16.99,14.99,NULL,NULL,0
9811,9811,12.99,0.00,NULL,NULL,0
13077,13077,18.99,0.00,NULL,NULL,0
13958,13958,20.49,0.00,NULL,NULL,0
12025,12025,8.99,0.00,NULL,NULL,0
13296,13296,102.99,79.99,1899-12-31 00:00:00.000,2030-12-31 00:00:00.000,1
14104,14104,30.99,0.00,NULL,NULL,0
13953,13953,9.49,0.00,NULL,NULL,0
4316,4316,249.99,0.00,NULL,NULL,0
6634,6634,218.99,0.00,NULL,NULL,0
6636,6636,199.99,0.00,NULL,NULL,0
6635,6635,109.99,0.00,NULL,NULL,0
6633,6633,109.99,0.00,NULL,NULL,0
10570,10570,39.99,0.00,NULL,NULL,0
6463,6463,17.99,0.00,NULL,NULL,0
7175,7175,38.99,0.00,NULL,NULL,0
2734,2734,29.99,0.00,NULL,NULL,0
2729,2729,34.99,0.00,NULL,NULL,0
11088,11088,39.99,0.00,NULL,NULL,0
10216,10216,16.99,0.00,NULL,NULL,0
5970,5970,7.99,0.00,NULL,NULL,0
5971,5971,7.99,0.00,NULL,NULL,0
7430,7430,7.99,0.00,NULL,NULL,0
7432,7432,12.49,0.00,NULL,NULL,0
13625,13625,38.49,0.00,NULL,NULL,0
21602,22433,20.99,15.99,NULL,NULL,0
19244,18834,45.99,42.99,NULL,NULL,0
17664,19495,9.99,14.99,NULL,NULL,0
14258,14258,25.99,0.00,NULL,NULL,0
22113,22942,99.99,0.00,NULL,NULL,0
23445,23279,99.99,0.00,NULL,NULL,0
10500,10500,14.99,0.00,NULL,NULL,0
19354,21182,20.99,64.99,NULL,NULL,0
8376,8376,11.99,0.00,NULL,NULL,0
21186,22020,12.99,17.99,NULL,NULL,0
12806,12806,453.99,317.99,2016-12-30 00:00:00.000,2050-12-30 00:00:00.000,1
14012,14012,11.49,0.00,NULL,NULL,0
13926,13926,12.49,0.00,NULL,NULL,0
11048,11048,30.99,0.00,NULL,NULL,0
14747,14748,20.49,0.00,NULL,NULL,0
14385,14385,23.49,0.00,NULL,NULL,0
27285,25131,0.00,0.00,NULL,NULL,0
13929,13929,70.99,0.00,NULL,NULL,0
24853,24692,12.99,0.00,NULL,NULL,0
2665,2665,32.99,0.00,NULL,NULL,0
13941,13941,19.49,0.00,NULL,NULL,0
12688,12688,16.99,0.00,NULL,NULL,0
6210,6210,65.99,0.00,NULL,NULL,0
12805,12805,233.99,163.99,2016-12-30 00:00:00.000,2050-12-30 00:00:00.000,1
14288,14288,26.99,0.00,NULL,NULL,0
13350,13350,36.49,0.00,NULL,NULL,0
11759,11759,11.99,0.00,NULL,NULL,0
5967,5967,14.99,9.99,2010-01-17 00:00:00.000,2050-01-17 00:00:00.000,1
23473,24949,0.00,0.00,NULL,NULL,0
6391,6391,39.99,0.00,NULL,NULL,0
13743,13743,36.49,0.00,NULL,NULL,0
11232,11232,119.99,0.00,NULL,NULL,0
6389,6389,89.99,0.00,NULL,NULL,0
17507,19339,79.99,89.99,NULL,NULL,0
6309,6309,0.99,0.00,NULL,NULL,0
12948,12948,47.99,0.00,NULL,NULL,0
6390,6390,179.99,0.00,NULL,NULL,0
12803,12803,228.49,159.99,2016-12-30 00:00:00.000,2050-12-30 00:00:00.000,1
5740,5740,21.99,0.00,NULL,NULL,0
26205,25051,50.99,0.00,1899-09-14 00:00:00.000,2030-12-31 00:00:00.000,0
12760,12760,20.99,0.00,NULL,NULL,0
12759,12759,25.49,0.00,NULL,NULL,0
21989,22819,33.99,0.00,NULL,NULL,0
13826,13826,16.49,0.00,NULL,NULL,0
11659,11659,22.99,0.00,NULL,NULL,0
13426,13426,27.99,22.99,1899-12-31 00:00:00.000,2040-12-31 00:00:00.000,1
13208,13208,11.99,0.00,NULL,NULL,0
21110,21945,29.99,0.00,NULL,NULL,0
13676,15249,18.99,0.00,NULL,NULL,0
15113,15113,7.49,0.00,NULL,NULL,0
