"option_id";"value"
"8";"Syrah / Shiraz"
"13";"Cabernet Sauvignon"
"27";"Pinot Noir"
"31";"Sangiovese"
"41";"Tempranillo / Tinto Fino / Tinta Roriz"
"46";"Riesling"
"48";"Grenache / Garnacha"
"52";"Mourvedre / Mataro / Monastrell / Garrut"
"78";"Nebbiolo"
"82";"Chardonnay"
"86";"Sauvignon Blanc"
"105";"Merlot"
"109";"Melon"
"122";"Zinfandel"
"124";"Albarino"
"134";"Verdicchio"
"177";"Pinot Gris / Pinot Grigio"
"217";"Malbec"
"219";"Corvina"
"250";"Garganega"
"254";"Muscat"
"259";"Pinot Bianco / Pinot Blanc"
"272";"Gruner Veltliner"
"281";"Barbera"
"283";"Dolcetto"
"291";"Trebbiano / Ugni Blanc / Rossola Brandica"
"298";"Primitivo"
"307";"Nero D'avola"
"313";"Montepulciano"
"326";"Vermentino"
"351";"Vernaccia"
"353";"Gamay"
"366";"Chenin Blanc"
"368";"Pinotage"
"381";"Carmenere"
"410";"Carignan / Carinena"
"429";"Cabernet Franc"
"451";"Cortese"
"460";"Debit"
"496";"Torrontes"
"502";"Tannat"
"513";"Mencia"
"519";"Petite Sirah"
"529";"Viognier"
"535";"Gewurztraminer"
"539";"Xinomavro"
"600";"Negroamaro"
"603";"Aglianico"
"643";"Fiano"
"652";"Marsanne"
"654";"Lambrusco"
"664";"Arneis"
"683";"Aligote"
"729";"Plum"
"782";"Inzolia"
"787";"Sauvignon Gris"
"849";"Pinot Meunier"
"879";"Greco"
"896";"Rice"
"933";"Charbono / Bonarda"
"945";"Falanghina"
"947";"Grillo"
"967";"Malvasia Bianca"
"1054";"Aghiorghitiko / St George"
"1152";"Vranec"
"1212";"White Zinfandel"
"1545";"Petit Verdot"
"1651";"Gaglioppo"
"1833";"Alvarinho"
"1835";"Tempranillo"
"1837";"Loureiro"
"1839";"Moscato"
"1986";"Lacrima"
"2122";"Malagousia"
"2131";"Begleri"
"2237";"Frappato"
"2432";"Semillon"
"5";"Joan Sarda"
"9";"Tait"
"14";"Silver Oak"
"19";"Raynal"
"23";"Anderson's Conn Valley"
"32";"Coltibuono"
"37";"Balblair"
"42";"Baron de Ley"
"66";"Charles Smith"
"73";"Colonel E.H. Taylor"
"76";"D'Arenberg"
"79";"Damilano"
"83";"Domaine Alain Chavy"
"89";"Domaine Georges Roumier"
"92";"Domaine Jean Grivot"
"94";"Nicolas Potel"
"101";"Glenfiddich"
"104";"Hedges"
"106";"Ichiro's Malt Chichibu"
"112";"Masion Louis Latour"
"114";"Marziano Abbona"
"116";"Metrokane"
"117";"Orin Swift"
"118";"Pacific Rim"
"120";"Pappy Van Winkle"
"121";"Paul Jaboulet Aine"
"125";"Portugal"
"127";"Sokol Blosser"
"129";"St Clement"
"131";"St. Francis"
"135";"Umani Ronchi"
"139";"Veramonte"
"146";"Wente Vineyards"
"149";"10 Cane"
"153";"12 Linajes"
"156";"14 Linajes"
"159";"123 Organic Tequila"
"161";"14 Hands"
"162";"1800 Tequila"
"165";"Noble Vines"
"167";"19 Crimes"
"168";"2 Brothers"
"169";"3 Brothers"
"171";"4 Brothers"
"174";"2 Up"
"176";"3 Blind Moose"
"178";"360 Vodka"
"181";"New Zealand"
"182";"44 North"
"183";"Michael David"
"184";"90 Plus"
"191";"99 Brand"
"192";"Acacia"
"193";"A to Z Wineworks"
"200";"Aberlour"
"204";"Abraham Bowman"
"206";"Abreu"
"209";"Absolut"
"218";"Achaval Ferrer"
"223";"Acrobat"
"228";"Admiral Nelson"
"230";"Querciabella"
"232";"Agua de Piedra"
"234";"Alamos"
"237";"Alderbrook"
"239";"Israel"
"243";"Chile"
"245";"Alfred Gratien"
"247";"Alice White"
"248";"Alize"
"249";"Allegrini"
"251";"Almaden"
"262";"Cavit"
"263";"Altamira"
"270";"Alvear"
"276";"Amarula"
"277";"Amayna"
"280";"Andre"
"286";"Angel's Envy"
"287";"Angostura"
"288";"Antica Napa Valley"
"289";"Antinori"
"294";"Antucura"
"301";"Apothic"
"303";"Appleton Estate"
"306";"Feudo Arancio"
"309";"Arbor Mist"
"316";"Ardbeg Distillery"
"323";"Argento"
"324";"Argiano"
"328";"Argyle"
"335";"Asconi Old Tavern"
"338";"Au Bon Climat"
"340";"Auchentoshan"
"342";"Augey"
"343";"Avalon"
"347";"Eastern Europe"
"348";"Avignonesi"
"350";"Avion"
"352";"Benedictine"
"354";"B & G - Barton & Guestier"
"357";"B.R. Cohn"
"358";"BV - Beaulieu Vineyard"
"359";"Babich"
"362";"Bacalhoa"
"365";"Bacardi"
"367";"Backsberg"
"371";"Badger Mountain"
"372";"Sanford"
"374";"Baileys"
"377";"Poland"
"380";"Balduzzi"
"382";"Balinoff"
"383";"Ballantine's"
"385";"Balvenie"
"393";"Castello Banfi"
"394";"Banrock Station"
"395";"Fattoria dei Barbi"
"396";"Barefoot"
"397";"Jagermeister"
"398";"Barkan"
"401";"Barlow"
"403";"Herzog Wine Cellars"
"407";"Barone Ricossolli"
"409";"Barossa Valley Estate"
"413";"Bartenders"
"414";"Bartenura"
"420";"Basil Hayden's"
"424";"Beringer"
"425";"Bearboat"
"427";"Beaux Freres"
"430";"Beefeater"
"434";"Belle Glos"
"439";"Beluga"
"440";"Belvedere"
"443";"Benziger"
"445";"Berentzen"
"453";"Bertani"
"457";"Bethel Heights"
"464";"Billecart-Salmon"
"465";"Bird Dog"
"466";"Bird in Hand"
"470";"Black & White"
"471";"Black Box"
"472";"Black Haus"
"473";"Black Opal"
"476";"Black Swan"
"478";"Blackstone"
