"page_id";"title";"root_template";"meta_title";"meta_keywords";"meta_description";"identifier";"is_active";"layout_update_xml";"is_new";"is_sale";"is_sale_by_rule";"include_type";"include_sku";"category";"attributes";"stock_less";"stock_more";"stock_status";"layout_heading";"layout_file";"layout_file_name";"layout_file_alt";"layout_description";"layout_static_top";"layout_static_bottom";"include_navigation";"columns_count";"include_menu";"include_menu_position";"default_sort_by";"advanced_filter_condition";"conditions_serialized";"layout_footer";"is_hide_condition_filters";"custom_design"
"1";"Sale";"two_columns_left";;NULL;NULL;"sale";"1";NULL;"0";"0";"2";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;NULL;NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:6:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";}";NULL;"1";NULL
"2";"Dominant Varietal / Pinot Gris / Pinot Grigio";"one_column";;NULL;NULL;"wine-varietal/pinot-gris-pinot-grigio";"0";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;"<p style=""text-align: center;""></p>
<p style=""text-align: center;""></p>
<p style=""text-align: center;"">Pinot Gris is a relative of Pinot Blanc and also is a variety of Vitis Vinifers, a clone or mutation of Pinot Noir.  The Gris in its name stands for grey in French and the Pinot stands for pine cone for the shape of the grayish-blue clusters.  There is a long history that dates back to the Middle Ages where it was spread to Switzerland from the Burgundy region.  It was then brought to Hungary by Cistercian monks where it developed the name Szurkebarat which means grey monk.  Pinot Gris is a mild, fragrant and light citrus lemon flavored depending on how ripe the grapes are at harvest.  Some Italian versions are drier as compared to other regions.  The wine should be served chilled and pairs well with foods that have high acidity.  Citrus fruits, light cheese, to tomato based recipes work well with this wine.</p>";NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:11:""dominantvar"";s:8:""operator"";s:2:""=="";s:5:""value"";s:3:""177"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"3";"Dominant Varietal / Durif / Petite Syrah";"one_column";"Shop Our Wine Varietal, Petite Syrah (or Durif) Online ";NULL;"Are you looking for the best deal on Petite Syrah, or Durif? Look no further than online on our store - shop for the best pricing and have it delivered to your door.";"wine-varietal/syrah-shiraz";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;"<p style=""text-align: left;"">This red wine grape is also known as Petite Sirah in the United States and Israel. This varietal produces very tannic, spicy, plumy flavored wines. This grape was name after a botanist who discovered the unique grape. Petite Sirah and Petite Syrah are the same with just a different spelling. The term petite actually refers to the size of the berries and not the vine. The grape forms tightly formed clusters that are susceptible to rotting in moist environments. The wine produced from these berries is inky and acidic with spices of black pepper and flavors of plums and blueberries. The wine has great aging ability and if aged in a barrel can produce a nice aroma of melted chocolate. This varietal is found in Australia, U.S., Israel, and South America.</p>";NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:11:""dominantvar"";s:8:""operator"";s:2:""=="";s:5:""value"";s:1:""8"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"4";"Dominant Varietal / Corvina";"one_column";"Shop Our Wine Varietal Corvina As Low as $12.99 Online";NULL;"Purchase our Corvina wine varietal today. This wine has a little tartness and a hint of sour cherry that goes well with soup, stews, and pasta. ";"wine-varietal/corvina";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;"<p style=""text-align: center;""></p>
<p style=""text-align: center;""></p>
<p style=""text-align: left;"">Corvina is a grape varietal from Italy. It goes by many names and is referred to also as Corvina Veronese, Cassabria, and Cruina. Mainly found in the Veneto region of Italy, it is blended with several other varietals to produce light red wines like Bardolino, Valpolicella , Amarone and Recioto. This light to medium bodied wine can sometimes display tartness with hints of sour cherry. Corvina grapes have thick skin and low tannins. It ripens late and is usually confused with Corvinone which is generally used in straw wines which are sweet raisin like wine similar to ice wine. DNA profiling proved that these two grapes are different from each other. The grapes can be difficult to cultivate. They are small blue-black color and very resistant to rot. This grape makes up the majority of most blends in Bardolino and Valpolicella. Valpolicella are the second largest Controlled Appellation wine and goes well with soups, stews and pastas. Amarone wine is one of the best wines coming out of Italy. This grape is one of the most expressive grapes in blends and is considered one of the best grapes in Northeastern Italy. Some of these blends also contain Rondinella and Molinara. When Corvina is aged in barrels it adds more structure and complexity to this light crimson coloring.</p>
<p style=""text-align: left;""><a href=""https://theliquorstore.com/wine-varietal/greco"">Up Next: Greco</a></p>
<p style=""text-align: left;"">TheLiquorStore.com has many other wine, liquor, whiskey, and champagne products. <a href=""https://theliquorstore.com/"">Learn more about them here</a>.</p>";NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:11:""dominantvar"";s:8:""operator"";s:2:""=="";s:5:""value"";s:3:""219"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"5";"Dominant Varietal / Greco";"one_column";"Shop our Wine Varietal Greco & Purchase Online Today";NULL;"TheLiquorStore.com has Greco wine varietal available for purchase online.This wine's fruitiness pairs well with Italian dishes, and light fish with lemon juice.";"wine-varietal/greco";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;"<p style=""text-align: left;"">Greco is a common name generally used with or pertaining to a greek origin which most likely this grape is from. Greco is an Italian wine grape that refers to both the black and white varieties. The term Greco is sometimes used as a synonym for many greek origin varietals. In Campagnia , this grape is used to make the wine Greco di Tufo, while in Calabria, Greco di Bianco is produced more. The short term Greco is mostly referred to the grape Greco Bianco even though there is more land dedicated to the Graco nero grape. Being of Greek origin, this grape has a long history behind it. Imported to southern Italy over 2,000 years ago by the Greeks, this grape was believed to be a part of a Roman blended wine of Aminean and Falernian. The grapes mature late and is prone to disease. The vine is described as being a winged cluster. The darker varietal gives off a deep color while the white versions tend to have more aromatic qualities. In Calabria, clones of Greco bianco have been used in sweet dessert wines while on Capri, Greco is blended with Falanghina to make a dry wine. Greco is also commonly blended with Malvasia and many other varietals.</p>
<p style=""text-align: left;""><a href=""https://theliquorstore.com/wine-varietal/gewurztraminer"">Up Next: Gewurztraminer</a></p>
<p style=""text-align: left;"">Curious to know what other products we carry? <a href=""https://theliquorstore.com/"">Learn more our fine selection here</a>.</p>";NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:11:""dominantvar"";s:8:""operator"";s:2:""=="";s:5:""value"";s:3:""879"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"6";"Dominant Varietal / Chardonnay";"one_column";"Shop Our Chardonnay Wine Varietals Today";NULL;"TheLiquorStore.com has Chardonnay available for purchase online. This wine has a buttery flavor that pairs well with poultry dishes, pork, and seafood.";"wine-varietal/chardonnay";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;"<p dir=""ltr"" style=""text-align: center;""><span>&nbsp;</span></p>
<p dir=""ltr"" style=""text-align: center;""><span>Chardonnay, America's number one selling white wine varietal, continues to climb the production ladders to emerge as the most beloved of dry white wines in the U.S. The Chardonnay grape itself also contributes to the wine's popularity. It is a relatively &ldquo;low-maintenance&rdquo; vine that adapts well to a variety of climates, resulting in fairly high yields worldwide. These high yields translate into millions of bottles of Chardonnay wines. As a result, you can buy a good bottle of Chardonnay for under $15.</span></p>
<p></p>
<p dir=""ltr"" style=""text-align: center;""><span>Rich is the word that best both describes Chardonnay and explains its popularity. Its aroma is distinct, yet delicate, difficult to characterize, easier to recognize. It often smells like apples, lemons, peaches or tropical fruits. Its delicacy is such that even a small percentage of another varietal blended into a chardonnay will often &nbsp;completely dominate its aroma and flavor. Oak commonly takes over Chardonnay if the wine is fermented or aged in new barrels or for too long in seasoned ones.</span></p>
<p></p>
<p dir=""ltr"" style=""text-align: center;""><span>If you prefer a big buttery Chardonnay then look for ones that have been through</span><a href=""http://wine.about.com/od/vineyardvocab/g/Malolacticfermentation.htm""><span>&nbsp;malolactic fermentation</span></a><span>, as they will yield the compound diacetyl, which makes up the dominant scent of fake butter used in microwave popcorn and imitation butter flavorings used in baked goods.</span></p>
<p></p>
<p dir=""ltr"" style=""text-align: center;""><span>With a long and distinguished following, Chardonnay enjoys a very versatile image, with vintners offering a broad range of styles and structures. From rich, buttery Chardonnays that boast power and presence to the unoaked fruit-forward Chardonnays that allow the varietal character and expression to be in the spotlight, this white wine is capable of accomodating most palates and just as many food pairing combinations.</span></p>
<p></p>
<p dir=""ltr"" style=""text-align: center;""><span>Chardonnay will pair well with poultry dishes, pork, seafood or recipes that have a heavy cream or butter base. Also consider pairing unoaked Chardonnay with guacamole, garlic, salads, grilled shrimp or even curry dishes.</span></p>
<p></p>
<p dir=""ltr"" style=""text-align: center;""><span>If you are looking to try a chardonnay, here are a few suggestions: </span></p>
<p></p>
<ul style=""text-align: center;"">
<li dir=""ltr"">
<p dir=""ltr""><span>Jordan Chardonnay 2007 </span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Kendall Jackson Chardonnay </span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Rodney Strong Reserve 2008 </span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Newton Unfiltered Chardonnay 2007 </span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>La Crema Sonoma Chardonnay 2009 </span></p>
</li>
</ul>
<p></p>
<p dir=""ltr"" style=""text-align: center;""><span>These &nbsp;wines can all &nbsp;be found by browsing our catalog below.</span></p>";NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:11:""dominantvar"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""82"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"7";"Dominant Varietal / Gewurztraminer";"one_column";"Buy Gewurztraminer Online Today";NULL;"We have a wide variety of Gewurztraminer to shop today. Gewurztraminer is an aromatic and sweet wine that pairs well with spicy dishes.";"wine-varietal/gewurztraminer";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;"<p><span id=""docs-internal-guid-4acbdd87-7fff-fbf4-763c-ef4d2aa6572a"">Gewurztraminer is aromatic and sometimes referred to as Gewurz to simplify mispronouncing the original word. &nbsp;The grapes grow well in cooler climates and the name means Spice Traminer. Traminer is a variety of grape that takes it name from a village in Northern Italy named Tramin which spoke German. First grown in Alscae around the 19th century, the green skinned grape believed to be a relative of Sauvignon Blanc and Voigner, mutated into a pink skinned grape called Red Traminer or Sauvignon Rose. &nbsp;The thick, tough skin can contain very highly concentrated sugar levels which can lead to higher alcohol levels. Somehow throughout history it wound up to be the Gewurztraminer we know today. The characteristics of these grapes can range from dark pink, dark to light, golden, yellow copper tone coloring with a fuller &nbsp;body than other white wines. The aromatics and sweetness of these wines depend on when they are harvested. Gewurztraminer is very difficult to grow and is very susceptible to frost, disease, and ripens early. Gewurztraimer is sweeter than Riesling, thick and rich with great aging ability. It pairs well with seasoned, spicy dishes like Mexican, Asian and could even be a dessert wine served chilled. &nbsp;The aromas of Gewurztraminer are similar to the lychee juice and share many of the same chemical compounds.</span></p>
<p><a href=""https://theliquorstore.com/wine-varietal/primitivo"">Up Next: Primitivo</a></p>
<p>Curious to know more about other wines, whiskey, liquors, or champagnes? <a href=""https://theliquorstore.com/"">Explore our selection here</a>.</p>";NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:11:""dominantvar"";s:8:""operator"";s:2:""=="";s:5:""value"";s:3:""535"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"8";"Dominant Varietal / Primitivo";"one_column";"Buy Primitivo Online Today";NULL;"We have a wide variety of Primitivo to shop today. Explore Primitivo's flavors of zesty cherry, clove, wild blackberry, raspberry and spice";"wine-varietal/primitivo";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;"<p>Primitivo possesses the same genetic make up as Zinfandel. &nbsp;The origins of these grapes trace back to Croatia and even though they are related they both have different characteristics. &nbsp;Puglia is home to the Primitivo varietal. Located in the heel of Italy&rsquo;s boot, Primitivo has an Old World style with rustic notes, earth and spice and tamed fruit flavors. &nbsp;Primitivo dates back many centuries and was named by Benedictine monks because of the early maturity rate of the grape. The name Primitivo derives from primativus and primaticcio describing the characteristics of the grape. &nbsp;The origins were believed to originate around 6000 B.C. in the Caucasus area in Eurasia and later in the 18th century was brought to Italy. The wine produced is deep, rich, and has flavors of zesty cherry, clove, wild blackberry, raspberry and spice. &nbsp;European label laws made it difficult for the names of Zinfandel and Primitivo to be interchangeable. Primitivo wines tend to be juicy, well structured, heavy pigment and high in alcohol. &nbsp;The Primitivo grapes are robust with a lot of sugar which raises the alcohol level in the wine.</p>
<p><a href=""https://theliquorstore.com/wine-varietal/tempranillo""><span>Up Next: Tempranillo</span></a></p>
<p><a href=""https://theliquorstore.com/"">Learn more about our products here</a>.</p>";NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:11:""dominantvar"";s:8:""operator"";s:2:""=="";s:5:""value"";s:3:""298"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"9";"Dominant Varietal / Tempranillo";"one_column";"Buy Tempranillo Online Today";NULL;"We have a wide variety of Tempranillo to shop today. Experience the full fruit flavors of Tempranillo which pairs well with many foods.";"wine-varietal/tempranillo";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;"<p><p><p dir=""ltr""><span>Tempranillo &nbsp;is the primary red wine grape for much of Spain, especially from the Rioja Alta and the Ribera del Duero region. &nbsp;In fact, it is called the Bordeaux of Spain because it is the main component in red Rioja. It needs only a short growing season and this early ripening tendency is the source of the name tempranillo, which translates to &ldquo;little early one.&rdquo; &nbsp;</span></p>
<p><p dir=""ltr""><span>Tempranillo vines prefer a cooler climate and have low resistance to many vine diseases and pests. &nbsp;The vines themselves tolerate heat well; however, the fruit develops indistinct flavors and undesirable characteristics in warm climes. &nbsp;</span></p>
<p><p dir=""ltr""><span>Tempranillo grapes tend to be low both in overall acidity and in sugar, but often high in pH and nearly always high in tannin from their thick skins.</span></p>
<p><p dir=""ltr""><span>It produces a medium to full bodied red wine with lower acidity and full fruit flavor characteristics. &nbsp;It is probably one of the most food friendly wines around the world. </span></p>
<p><p dir=""ltr""><span>Tempranillo wines from Rioja region are darker and more robust and more acid than tannins. &nbsp;There are three quality levels: Crianza (everyday drinking wine), Reserva (denotes more complex and concentrated), and Gran Reserva (most intense wine, made only in the best years.)</span></p>
<p><p dir=""ltr""><span>Tempranillo wines from Ribera del Duero are generally darker and more powerful than most traditional Riojas.</span></p>
<p><p dir=""ltr""><span> Tempranillo wines from Rioja region go very well with simple meats like chicken, leg of lamb and pork loins while wines from Ribera de Duero works well with bolder meat dishes, stews, and aged Spanish cheese like Manchego or Idizabal. &nbsp;</span></p>
<p><a href=""https://theliquorstore.com/wine-varietal/sangiovese""><span>Up Next: Sangiovese</span></a></p>
<p><a href=""https://theliquorstore.com/"">Explore our wine catelog&nbsp;<em>further</em> here.</a></p>";NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:11:""dominantvar"";s:8:""operator"";s:2:""=="";s:5:""value"";s:4:""1835"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
"10";"Dominant Varietal / Sangiovese";"one_column";"Buy Sangiovese Online Today";NULL;"We have a wide variety of Sangiovese to shop today. Experience the wide variety of flavors of Sangiovese which pairs well with pasta or hamburgers.";"wine-varietal/sangiovese";"1";NULL;"0";"0";"0";"0";NULL;NULL;"a:0:{}";"0";"0";"0";NULL;NULL;NULL;NULL;"<p dir=""ltr"">Sangiovese is a red Italian wine grape variety. &nbsp;Although the Sangiovese grape is found worldwide, it is mainly found in central Italy, primarily in Tuscany. &nbsp;General characteristics of Sangiovese are high in acidity, firm tannins, and light bodied, but the exact flavors and aromas of any particular Sangiovese wine depends heavily on where the grape is grown and how the wine maker create the wine. &nbsp;For example, Sangiovese grapes grown in soils with high concentration of limeston produce elegant wines with strong aromas. Also, to maintain the quality of the wines it produces, it is crucial for the wine makers to check the yields of grapes per vine. &nbsp;The Sangiovese vine is notorious for overproduction which can lessen the quality of the wine.</p>
<p></p>
<p dir=""ltr""><span>The high acidity and light body characteristics of the Sangiovese grapes exhibit a problem for winemakers. &nbsp;The grape&rsquo;s weak coloring comes from lack of the color-creating phenolic compounds. Today&rsquo;s winemakers have developed numerous techniques to add body and texture to Sangiovese wines. &nbsp;For example, winemakers have used grapes that come from extremely low yielding vines. Also, adjusting the temperature and the length of fermentation as well as employing extensive oak treatment contribute to strengthening the characteristics of Sangiovese. &nbsp;Some winemakers blend Sangiovese with other Italian varieties like Mammolo, Colorino, and Canaiolo to produce stronger and concentrated flavored wine such as Chianti. </span></p>
<p dir=""ltr""><span>Sangiovese wines are excellent with pasta dishes, roasted chicken, roasted turkey, meatloaf, and hamburger. &nbsp;</span></p>
<p dir=""ltr""><span>Here are some Sangiovese wines:</span></p>
<ul>
<li dir=""ltr"">
<p dir=""ltr""><span>Valdicava Brunello di Montalcino 2006</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Poggio San Polo Rubio IGT 2008</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Frescobaldi Nipozzano Chianti Reserva 2007</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Di Majo Norante Sangiovese 2009</span></p>
</li>
<li dir=""ltr"">
<p dir=""ltr""><span>Terra d&rsquo;Oro Sangiovese 2007</span></p>
</li>
</ul>
<p><a href=""https://theliquorstore.com/wine-varietal/barbera""><span>Up Next: Barbera</span></a></p>
<p><a href=""https://theliquorstore.com/"">Browse our inventory here.</a></p>";NULL;NULL;"left";"4";"0";"0";NULL;"1";"a:7:{s:4:""type"";s:34:""amlanding/filter_condition_combine"";s:9:""attribute"";N;s:8:""operator"";N;s:5:""value"";s:1:""1"";s:18:""is_value_processed"";N;s:10:""aggregator"";s:3:""all"";s:10:""conditions"";a:1:{i:0;a:5:{s:4:""type"";s:34:""amlanding/filter_condition_product"";s:9:""attribute"";s:11:""dominantvar"";s:8:""operator"";s:2:""=="";s:5:""value"";s:2:""31"";s:18:""is_value_processed"";b:0;}}}";NULL;"1";NULL
